,NHD_LAKE_ID,BB_ID
0,120017988,bb_0
1,120020370,bb_1
2,37649095,bb_2
3,91679281,bb_3
4,120020498,bb_4
5,69547279,bb_5
6,107075016,bb_6
7,107071410,bb_7
8,120020448,bb_8
9,120020445,bb_9
10,120019602,bb_10
11,42801841,bb_11
12,122941195,bb_12
13,41240185,bb_13
14,76246436,bb_14
15,151951206,bb_15
16,151949459,bb_16
17,151948731,bb_17
18,69548049,bb_18
19,69546231,bb_19
20,47483868,bb_20
21,47486881,bb_21
22,69545019,bb_22
23,74926543,bb_23
24,74925965,bb_24
25,111725613,bb_25
26,74926427,bb_26
27,107070048,bb_27
28,{66B819E2-B9F1-46AA-A525-3DAB384D02AA},bb_28
29,107069924,bb_29
30,155495812,bb_30
31,155495335,bb_31
32,155495851,bb_32
33,155495539,bb_33
34,141290138,bb_34
35,155444798,bb_35
36,141288146,bb_36
37,76243150,bb_37
38,77570069,bb_38
39,120020866,bb_39
40,152378415,bb_40
41,161988307,bb_41
42,161988221,bb_42
43,77358476,bb_43
44,69886428,bb_44
45,123148628,bb_45
46,77358136,bb_46
47,69883988,bb_47
48,69885052,bb_48
49,123148955,bb_49
50,70334209,bb_50
51,123149103,bb_51
52,123148699,bb_52
53,69885902,bb_53
54,123148133,bb_54
55,69886228,bb_55
56,70332115,bb_56
57,123400735,bb_57
58,123403438,bb_58
59,{B97B71EB-32C0-48A1-804B-10EC7973FA2A},bb_59
60,137423458,bb_60
61,143251029,bb_61
62,121623871,bb_62
63,121623165,bb_63
64,121622933,bb_64
65,121650633,bb_65
66,143249640,bb_66
67,155444423,bb_67
68,155445199,bb_68
69,121622394,bb_69
70,157357173,bb_70
71,70335967,bb_71
72,75653933,bb_72
73,75658233,bb_73
74,75651747,bb_74
75,75659475,bb_75
76,68840139,bb_76
77,68839121,bb_77
78,76156849,bb_78
79,70332081,bb_79
80,123403241,bb_80
81,123402728,bb_81
82,123403300,bb_82
83,123397651,bb_83
84,123397174,bb_84
85,123400840,bb_85
86,{117A9949-40FA-41DB-8E98-9479A35D2918},bb_86
87,70338215,bb_87
88,{04CE6E62-AFE9-4219-BA2E-77AD09FE58D6},bb_88
89,123394248,bb_89
90,70338283,bb_90
91,75473371,bb_91
92,123399901,bb_92
93,111864161,bb_93
94,111861383,bb_94
95,111863647,bb_95
96,123401844,bb_96
97,114550709,bb_97
98,{08C38C24-CCB1-4DDB-97DB-8B8973AEE01D},bb_98
99,114549727,bb_99
100,75475931,bb_100
101,76157361,bb_101
102,116542403,bb_102
103,{ABDC0EE3-BA6B-4E54-8438-30A3FC074DB9},bb_103
104,{0089AD77-3646-4E4E-8FAC-08198700005F},bb_104
105,4ef182a2-2eda-4b3d-8d8a-f8d94be2ea8e,bb_105
106,5b074c3f-6f28-4fa6-ae7a-a94320c0d7ae,bb_106
107,6fdece3a-1f1c-4049-a4b0-55bba04e9015,bb_107
108,7404e690-139e-4c80-89ad-99004506ccc0,bb_108
109,37649561,bb_109
110,37649605,bb_110
111,37651431,bb_111
112,37651445,bb_112
113,37649247,bb_113
114,37649279,bb_114
115,37651255,bb_115
116,37649883,bb_116
117,37649875,bb_117
118,37649397,bb_118
119,37651413,bb_119
120,37649465,bb_120
121,37651277,bb_121
122,37649211,bb_122
123,37651197,bb_123
124,37649021,bb_124
125,37651105,bb_125
126,37651037,bb_126
127,37648921,bb_127
128,37648927,bb_128
129,37648915,bb_129
130,37649417,bb_130
131,37649477,bb_131
132,0332bb5f-7bbb-4d05-b421-d3c11bf0cb2e,bb_132
133,37651033,bb_133
134,684c442e-407d-4842-841b-e1980591391e,bb_134
135,8a08551a-0bda-45fd-8d61-08f06b32f8ab,bb_135
136,37649071,bb_136
137,37648977,bb_137
138,37648933,bb_138
139,7dff1bf3-9146-4474-a9b2-54490cdeb0f6,bb_139
140,a9d9c510-7c6b-443e-9934-555c1803ec9d,bb_140
141,37651073,bb_141
142,d000a423-010b-491a-bd33-239cbbcd68fa,bb_142
143,f57f48ce-5e6d-40bc-85ab-13e43975e758,bb_143
144,5a7eca92-c08c-4361-a50c-33bdcb5c5a3e,bb_144
145,7f4e7731-dff9-44c3-825b-0937a8bff10e,bb_145
146,566ecb58-0df9-473a-a7f6-5cc05d906fb6,bb_146
147,3e962f79-2e22-4ac1-b6ba-f60f660775a5,bb_147
148,8e966824-6e07-4773-a3c0-9d2198a3728d,bb_148
149,897e7196-ae73-41db-8af3-1a5f9aa9f92d,bb_149
150,37648485,bb_150
151,c134933c-ad1d-443c-a270-63b195e4e3e5,bb_151
152,7dcf0167-d18b-4c6b-9e5a-204d7afa2c84,bb_152
153,d9018303-07eb-443d-af90-532b756f9d62,bb_153
154,67bf4189-8199-48a9-9b9a-f8caa405dcfb,bb_154
155,33645df4-7052-4fe4-b3fc-a3f0ccf0c605,bb_155
156,34119149,bb_156
157,37649929,bb_157
158,789a2435-2c95-4898-aef6-5f05c9150aa9,bb_158
159,4b5c6a77-daf1-4d94-b759-824e5b7c3e4c,bb_159
160,34119076,bb_160
161,37648925,bb_161
162,73dee6a0-a522-4ef0-a5e9-ec2de36228e2,bb_162
163,81a5d859-cfb4-4e9e-91c5-d4c809b9db4d,bb_163
164,5eb126c0-aa82-47eb-b5f2-3820184f916a,bb_164
165,37648199,bb_165
166,37648293,bb_166
167,37648259,bb_167
168,34119113,bb_168
169,34119085,bb_169
170,81640195,bb_170
171,120020486,bb_171
172,107074176,bb_172
173,107073804,bb_173
174,088dcc7b-033c-4cef-8c76-7698c5dd46c0,bb_174
175,29958239-306a-44f8-9145-72c57762ee5a,bb_175
176,c1a490bd-f62f-4d48-a75b-fb9cd2b8adc6,bb_176
177,bbb18665-12d6-48a5-afa1-a15486f37d2a,bb_177
178,ca3d9f07-873c-4df6-b691-93e427a09c0d,bb_178
179,37648331,bb_179
180,34119143,bb_180
181,91684137,bb_181
182,91682663,bb_182
183,91681695,bb_183
184,91681657,bb_184
185,37651221,bb_185
186,ecd802fc-9865-4b41-9429-58017c86e1f7,bb_186
187,37650941,bb_187
188,b2ed384e-5dae-4f1f-b4c0-7ed4b3263398,bb_188
189,91683075,bb_189
190,91680151,bb_190
191,107073388,bb_191
192,d568f7eb-982d-4042-b46b-3d5ae10a165a,bb_192
193,4df5c1d6-cc4b-4dbc-b54e-0585b72129fb,bb_193
194,b31f36d4-3a1c-494b-bf8e-352f86dfabcd,bb_194
195,4fa0b3bc-de5e-4632-b8be-663465f104b1,bb_195
196,d188d731-3c04-4bfa-b551-7a4011a86686,bb_196
197,bea75553-a38b-43f9-ab2f-37e7ceffd0d9,bb_197
198,7078b124-ce8e-4a0b-a36d-174ab3b962f1,bb_198
199,34119255,bb_199
200,34119267,bb_200
201,{9FFB85A2-C439-4275-9009-246C3F6AF989},bb_201
202,{2F11BB0D-D6EA-4D62-8C0B-E830EFC605B1},bb_202
203,91684967,bb_203
204,120020320,bb_204
205,91683837,bb_205
206,91681649,bb_206
207,91680963,bb_207
208,91680987,bb_208
209,91680565,bb_209
210,91680285,bb_210
211,91677785,bb_211
212,107073656,bb_212
213,107073562,bb_213
214,37651451,bb_214
215,eb73ad1c-098c-49dc-829f-843250afd73e,bb_215
216,37648197,bb_216
217,34119237,bb_217
218,34119158,bb_218
219,91683849,bb_219
220,91680737,bb_220
221,91680483,bb_221
222,91679981,bb_222
223,91678727,bb_223
224,91678557,bb_224
225,91678075,bb_225
226,91677939,bb_226
227,107073490,bb_227
228,37651447,bb_228
229,37649031,bb_229
230,37651021,bb_230
231,37648417,bb_231
232,37648307,bb_232
233,37648209,bb_233
234,37648101,bb_234
235,37648153,bb_235
236,91595675,bb_236
237,37650855,bb_237
238,3e3e7543-36e6-436d-ab5f-387570e939a1,bb_238
239,37650759,bb_239
240,91685499,bb_240
241,91683143,bb_241
242,91682583,bb_242
243,91678641,bb_243
244,91677625,bb_244
245,91677649,bb_245
246,120020468,bb_246
247,37651103,bb_247
248,0f14ff52-e04a-4556-9168-ceca4d96e760,bb_248
249,37647965,bb_249
250,37650773,bb_250
251,37650747,bb_251
252,37650699,bb_252
253,91686209,bb_253
254,91684945,bb_254
255,91681053,bb_255
256,91680585,bb_256
257,91680017,bb_257
258,91678855,bb_258
259,91678411,bb_259
260,107073674,bb_260
261,37650969,bb_261
262,91686127,bb_262
263,91685881,bb_263
264,91685793,bb_264
265,91684213,bb_265
266,91683123,bb_266
267,91682567,bb_267
268,91681755,bb_268
269,91680771,bb_269
270,91679881,bb_270
271,91679137,bb_271
272,37651437,bb_272
273,37649157,bb_273
274,37648217,bb_274
275,37648093,bb_275
276,8d829607-e43e-4e54-a863-083e6dd5b5f5,bb_276
277,37650839,bb_277
278,37647969,bb_278
279,91681121,bb_279
280,91681323,bb_280
281,91680231,bb_281
282,91679727,bb_282
283,91678679,bb_283
284,91678495,bb_284
285,91678319,bb_285
286,91678413,bb_286
287,91677469,bb_287
288,91677549,bb_288
289,91676841,bb_289
290,107073762,bb_290
291,107073220,bb_291
292,91685603,bb_292
293,91683287,bb_293
294,91682995,bb_294
295,91681005,bb_295
296,91680809,bb_296
297,91680615,bb_297
298,91680671,bb_298
299,91679423,bb_299
300,91676879,bb_300
301,37648345,bb_301
302,91685955,bb_302
303,91685589,bb_303
304,91685329,bb_304
305,91685315,bb_305
306,91683785,bb_306
307,91683329,bb_307
308,91683149,bb_308
309,91682965,bb_309
310,91682443,bb_310
311,91681199,bb_311
312,91680687,bb_312
313,91680695,bb_313
314,91680387,bb_314
315,91680055,bb_315
316,91679045,bb_316
317,91678621,bb_317
318,91676689,bb_318
319,107073806,bb_319
320,107072788,bb_320
321,107072456,bb_321
322,91680361,bb_322
323,91680225,bb_323
324,91678971,bb_324
325,91678633,bb_325
326,91678213,bb_326
327,91677897,bb_327
328,91677457,bb_328
329,91676641,bb_329
330,107073494,bb_330
331,107072140,bb_331
332,80002805,bb_332
333,120018910,bb_333
334,91690963,bb_334
335,91690889,bb_335
336,91684535,bb_336
337,91683657,bb_337
338,91681049,bb_338
339,91678923,bb_339
340,91677521,bb_340
341,91676735,bb_341
342,91676579,bb_342
343,107074018,bb_343
344,107073462,bb_344
345,107072884,bb_345
346,107072206,bb_346
347,107071804,bb_347
348,107071854,bb_348
349,4a59bba1-dffd-4d92-b324-77e049e696e5,bb_349
350,91691589,bb_350
351,91691603,bb_351
352,91691657,bb_352
353,91691321,bb_353
354,91691519,bb_354
355,91691503,bb_355
356,91691089,bb_356
357,91691051,bb_357
358,91686593,bb_358
359,91682079,bb_359
360,91681793,bb_360
361,91681965,bb_361
362,91676929,bb_362
363,107072474,bb_363
364,107072384,bb_364
365,91691633,bb_365
366,91691729,bb_366
367,91690839,bb_367
368,91686697,bb_368
369,91686725,bb_369
370,91685731,bb_370
371,91685295,bb_371
372,91684907,bb_372
373,120020317,bb_373
374,91683419,bb_374
375,91682445,bb_375
376,91682349,bb_376
377,91681431,bb_377
378,91678789,bb_378
379,91691983,bb_379
380,91691383,bb_380
381,91690945,bb_381
382,34126902,bb_382
383,91686703,bb_383
384,91686543,bb_384
385,91686629,bb_385
386,91685437,bb_386
387,120020323,bb_387
388,91684355,bb_388
389,91683753,bb_389
390,91683635,bb_390
391,91681519,bb_391
392,91676847,bb_392
393,107074054,bb_393
394,107073864,bb_394
395,91691967,bb_395
396,91691015,bb_396
397,91691197,bb_397
398,91690683,bb_398
399,91690771,bb_399
400,91690517,bb_400
401,91690337,bb_401
402,91689763,bb_402
403,91688641,bb_403
404,91688531,bb_404
405,91686175,bb_405
406,91685949,bb_406
407,91685937,bb_407
408,91685745,bb_408
409,91685675,bb_409
410,91684305,bb_410
411,91684515,bb_411
412,91684189,bb_412
413,91684097,bb_413
414,91684197,bb_414
415,91684055,bb_415
416,91683649,bb_416
417,91682127,bb_417
